title,description,url
 Learn Swift (Aidan Finn),This tutorial walks you through the features of the Swift programming language while allowing you to leverage your existing programming knowledge to get up-to-speed quickly - you will quickly be writing Swift code to instantly see the results of your work.,https://freecomputerbooks.com/Learn-Swift-Aidan-Finn.html
 Hacking with Swift (Paul Hudson),"This book is a complete Swift tutorial written for Swift 3 and iOS 10. It takes you from absolutely beginner with no knowledge of Swift to an advanced Swift developer through 39 finished hands-on projects, all utilizing the latest frameworks from Apple.",https://freecomputerbooks.com/Hacking-with-Swift.html
 Mastering Swift (Jon Hoffman),"This book is for developers who want to delve into the latest version of Swift. If you are a developer looking to learn in a practical way by working with code, then this book is for you. A basic understanding of Apple's tools will be beneficial but not mandatory.",https://freecomputerbooks.com/Swift-Essentials.html
 Essential Swift (Krzysztof Kowalczyk),This book provides clear and concise explanation of topics for programmers both starting to learn the Swift programming language as well as those diving in more complex topics. Examples are linked to online playground that allows you to play with them.,https://freecomputerbooks.com/Essential-Swift.html
 Swift Notes for Professionals,"This book explains map(), flatMap(), reduce() and more, using practical examples you can apply immediately. It teaches you to write faster, more efficient Swift with techniques you can apply in your own code immediately – upgrade your skills today!",https://freecomputerbooks.com/Swift-Notes-for-Professionals.html
 iOS App Development Essentials: Xcode and Swift,"This free book is to teach you the skills necessary to build your own apps for iOS 10. Assuming you are ready to download the iOS 10 SDK and Xcode 8, have an Intel-based Mac and ideas for some apps to develop, you are ready to get started.",https://freecomputerbooks.com/iOS-10-App-Development-Essentials.html
 Swift Pocket Reference: Programming for iOS and OS X,"This pocket reference is the perfect on-the-job tool for learning Swift's modern language features, including type safety, generics, type inference, closures, tuples, automatic memory management, and support for Unicode.",https://freecomputerbooks.com/Swift-Pocket-Reference-Programming-for-iOS-and-OS-X.html
 Swift by Tutorials: An Hands-On Approach,"Learn Apple's brand new programming language, Swift, the quick and easy way: via hands-on tutorials! Through a series of real-world, practical examples you will bring your Swift knowledge from beginner to master.",https://freecomputerbooks.com/Swift-by-Tutorials.html
 iOS 9 App Development Essentials: Xcode 7 and Swift 2,"This book teaches you the skills necessary to build your own apps for iOS 9. Beginning with the basics, this book provides an outline of the steps necessary to set up an iOS development environment, followed by an in-depth look at the design of iOS applications and user interfaces. Advanced topics are also covered.",https://freecomputerbooks.com/iOS-9-App-Development-Essentials.html
 iOS 8 App Development Essentials: Develop iOS 8 Apps in Swift,"The aim of this book is to teach the range of skills necessary to build apps for iOS 8. It takes a modular approach to the subject of iOS 8 application development for both the iPhone and iPad, with examples and step-by-step tutorials, using Swift.",https://freecomputerbooks.com/iOS-8-App-Development-Essentials.html
 Xcode Tutorial For Beginners (Chris Ching),"This book is for anyone wanting to know more about creating software using Xcode, a programming tool used to develop applications for iOS, macOS, watchOS, and tvOS. You will get easy to understand, step-by-step guidance on how to program in Xcode.",https://freecomputerbooks.com/Xcode-Tutorial-For-Beginners.html
 The Swift Programming Language (Apple),"This book is the authoritive guide to the Swift Programming Language, it consists of a tour of the language, a detailed guide delving into each language feature, and a formal reference for the language.",https://freecomputerbooks.com/The-Swift-Programming-Language.html
 Swift for Ruby Developers: An Tutorial Introduction,"Written for programmers with a background in Ruby, this book explore the new Swift language in depth. The code examples feature syntax shading, code highlighting, rich commenting, line-by-line code walkthroughs and live program outputs.",https://freecomputerbooks.com/Swift-for-Ruby-Developers.html
 Test-Driven iOS Development with Swift (Dominik Hauser),This open access book provides a wealth of hands-on examples that illustrate how hyperparameter tuning can be applied in practice and gives deep insights into the working mechanisms of machine learning (ML) and deep learning (DL) methods.,https://freecomputerbooks.com/Test-Driven-iOS-Development-with-Swift.html
 Hyperparameter Tuning for Machine and Deep Learning with R,"This book is for people who want to analyze, visualize and model geographic data with open source software. It is based on R, a statistical programming language that has powerful data processing, visualization, and geospatial capabilities.",https://freecomputerbooks.com/Hyperparameter-Tuning-for-Machine-and-Deep-Learning-with-R.html
" Geocomputation with R (Robin Lovelace, et al.)","This book not only teaches you how to program, but also shows you how to get more from R than just visualizing and modeling data. You’ll gain valuable programming skills and support your work as a data scientist at the same time.",https://freecomputerbooks.com/Geocomputation-with-R.html
 Hands-On Programming with R: Functions and Simulations,"This book is about the fundamentals of R programming. Get started with the basics of the language, learn how to manipulate datasets, how to write functions, and how to debug and optimize code. You will have a solid foundation on data science toolbox.",https://freecomputerbooks.com/Hands-On-Programming-with-R-Write-Your-Own-Functions-and-Simulations.html
 R Programming for Data Science (Roger D. Peng),"This cookbook provides more than 150 recipes to help scientists, engineers, programmers, and data analysts generate high-quality graphs quickly - without having to comb through all the details of R's graphing systems.",https://freecomputerbooks.com/R-Programming-for-Data-Science.html
 R Graphics Cookbook: Practical Recipes for Visualizing Data,The main aim of this book is to help you climb the initial learning curve and provide you with the basic skills and experience (and confidence!) to enable you to further your experience in using R.,https://freecomputerbooks.com/R-Graphics-Cookbook-Practical-Recipes-for-Visualizing-Data.html
" An Introduction to R (Alex Douglas, et al.)","This book helps you understand how R works at a fundamental level. Designed for R programmers who want to deepen their understanding of the language, and programmers experienced in other languages to understand what makes R different and special.",https://freecomputerbooks.com/An-Introduction-to-R-by-Alex-Douglas.html
" Advanced R, Second Edition (Hadley Wickham)","This book offers solutions to the exercises from Advanced R, 2nd Edition by Hadley Wickham. It is work in progress and under active development. The 2nd edition of Advanced R is in print now and we hope to provide most of the answers.",https://freecomputerbooks.com/Advanced-R-by-Hadley-Wickham.html
" Advanced R Solutions (Malte Grosser, et al)","This book teaches you how to do data science with R: You'll learn how to get your data into R, get it into the most useful structure, transform it, visualize it and model it, how data science can help you work with the uncertainty and capture the opportunities.",https://freecomputerbooks.com/Advanced-R-Solutions.html
" R for Data Science: Visualize, Model, Transform, Tidy, Import","Turn your R code into packages that others can easily download and use. This practical book shows you how to bundle reusable R functions, sample data, and documentation together by applying author's package development philosophy.",https://freecomputerbooks.com/R-for-Data-Science.html
" R Packages: Organize, Test, Document, and Share Your Code",This textbook provides a comprehensive introduction to forecasting methods and presents enough information about each method for readers to use them sensibly. Examples use R with many data sets taken from the authors' own consulting experience.,https://freecomputerbooks.com/R-Packages.html
" Forecasting, Principles and Practice, Using R (R. J. Hyndman)","Introduces concepts and skills that can help tackling real-world data analysis challenges. Covers concepts from probability, statistical inference, linear regression, and machine learning. Helps developing skills such as R programming, data wrangling, etc.",https://freecomputerbooks.com/Forecasting-Principles-and-Practice.html
 Introduction to Data Science: Data Analysis and Algorithms with R,The book gives a rigorous treatment of the elementary concepts of regression models from a practical perspective. The ideal reader for this book will be quantitatively literate and has a basic understanding of statistical concepts and R programming.,https://freecomputerbooks.com/Introduction-to-Data-Science-Data-Analysis-and-Prediction-Algorithms-with-R.html
 Regression Models for Data Science in R (Brian Caffo),"This book is about increasing the amount of work you can do with R in a given amount of time. It's about both computational and programmer efficiency. This book is for anyone who wants to make their use of R more reproducible, scalable, and faster.",https://freecomputerbooks.com/Regression-Models-for-Data-Science-in-R.html
 Efficient R Programming: Practical Guide to Smarter Programming,"The goal of this cookbook is to provide solutions to common tasks and problems in analyzing data. Each recipe tackles a specific problem with a solution you can apply to your own project, and includes a discussion of how and why the recipe works.",https://freecomputerbooks.com/Efficient-R-Programming.html
 Cookbook for R: Best R Programming TIPs (Winston Chang),"This book aims at giving a wide understanding of many aspects of R. Combining detailed explanations with real-world examples and exercises, this book will provide you with a solid understanding of both statistics and the depth of R's functionality.",https://freecomputerbooks.com/Cookbook-for-R.html
 Advanced R (Florian Prive),"This book provides an integrated treatment of statistical inference techniques in data science using the R Statistical Software. It provides a much-needed, easy-to-follow introduction to statistics and the R programming language.",https://freecomputerbooks.com/Advanced-R-by-Florian-Prive.html
 Applied Statistics with R (David Dalpiaz),"It provides an accessible overview of the field of statistical learning, an essential toolset for making sense of the vast and complex data sets that have emerged in fields ranging from biology to finance to marketing to astrophysics in the past twenty years.",https://freecomputerbooks.com/Applied-Statistics-with-R.html
 An Introduction to Statistical Learning: with Applications in R,It provides an introduction to Bayesian Inference in decision making without requiring calculus. It may be used on its own as an open-access introduction to Bayesian inference using R Programming for anyone interested in learning about Bayesian statistics.,https://freecomputerbooks.com/An-Introduction-to-Statistical-Learning.html
 An Introduction to Bayesian Thinking,"An engaging, sophisticated, and fun introduction to the field of Bayesian statistics, it brings the power of modern Bayesian thinking, modeling, and computing to a broad audience. Integrates R code, including RStan modeling tools, bayesrules package.",https://freecomputerbooks.com/An-Introduction-to-Bayesian-Thinking.html
 Bayes Rules! An Introduction to Applied Bayesian Modelin,"This book provides a self-contained introduction to computational Bayesian statistics using R programming language. With its primary focus on Bayes factors supported by data sets, this book features an operational perspective, practical relevance, and applicability.",https://freecomputerbooks.com/Bayes-Rules-An-Introduction-to-Applied-Bayesian-Modeling.html
 Bayes Factors for Forensic Decision Analyses with R,"This is a textbook on data analysis methods, intended for advance undergraduate students who have already taken classes in probability, mathematical statistics, and linear regression. All examples implemented using R.",https://freecomputerbooks.com/Bayes-Factors-for-Forensic-Decision-Analyses-with-R.html
Advanced Data Analysis from an Elementary Point of View(Cosma R. Shalizi),"This is an introduction to statistics, with R, without calculus, for students who are required to learn statistics, students with little background in mathematics and often no motivation to learn more.",https://freecomputerbooks.com/Advanced-Data-Analysis-from-an-Elementary-Point-of-View.html
" Introduction to Statistical Thinking, with R, without Calculus","This book presents one of the fundamental data modeling techniques in an informal tutorial style. Learn how to predict system outputs from measured data using a detailed step-by-step process to develop, train, and test reliable regression models.",https://freecomputerbooks.com/Introduction-to-Statistical-Thinking.html
 Linear Regression Using R: An Introduction to Data Modeling,This book covers the essential exploratory techniques for summarizing data with R. These techniques are typically applied before formal modeling commences and can help inform the development of more complex statistical models.,https://freecomputerbooks.com/Linear-Regression-Using-R.html
 Exploratory Data Analysis with R (Roger D. Peng),"This book takes you on a guided tour of software development with R, from basic types and data structures to advanced topics like closures, recursion, and anonymous functions. No statistical knowledge is required.",https://freecomputerbooks.com/Exploratory-Data-Analysis-with-R.html
 Learning Statistics with R (Daniel Navarro),"You'll explore text-mining techniques with tidytext, a package that authors developed using the tidy principles behind R packages like ggraph and dplyr. You'll learn how tidytext and other tidy tools in R can make text analysis easier and more effective.",https://freecomputerbooks.com/Learning-Statistics-with-R.html
" Text Mining with R: A Tidy Approach (Julia Silge, et al)",This book presents useful tools and techniques for attacking many types of R programming problems. It not only helps current R users become R programmers but also shows existing programmers what's special about R.,https://freecomputerbooks.com/Text-Mining-with-R-A-Tidy-Approach.html
 Advanced R Programming (Hadley Wickham),The objective of this book is to introduce participants to the use of R for data manipulation and analysis. It is intented for individuals with little or no prior experience in R. The topics that are covered are the most important for getting started with R.,https://freecomputerbooks.com/Advanced-R-by-Hadley-Wickham.html
 R for Beginners (Sasha D. Hafner),Learn R programming for data analysis in a single day. The book aims to teach data analysis using R within a single day to anyone who already knows some programming in any other language.,https://freecomputerbooks.com/R-for-Beginners.html
 Just Enough R: Learn Data Analysis with R in a Day (S. Raman),"This book is an essential guide to the trouble spots and oddities of R. In spite of the quirks exposed here, R is the best computing environment for most data analysis tasks. If you are using spreadsheets to understand data, switch to R.",https://freecomputerbooks.com/Just-Enough-R.html
 The R Inferno (Patrick Burns),"A guided tour of software development with R, from basic types and data structures to advanced topics like closures, recursion, and anonymous functions. No statistical knowledge is required, and your programming skills can range from hobbyist to pro.",https://freecomputerbooks.com/The-R-Inferno.html
 The Art of R Programming: A Tour of Statistical Software Design,This book has a two-fold aim: to learn the basics of R and to acquire basic skills for programming efficiently in R. Emphasis is on converting ideas about analysing data into useful R programs.,https://freecomputerbooks.com/The-Art-of-R-Programming-Matloff-Norman.html
 A Step-by-Step R Tutorial: Applications and Programming,"A straightforward introduction to the statistical analysis of language, designed for those with a non-mathematical background. Using the leading statistics programme 'R'. Suitable for all those working with quantitative language data.",https://freecomputerbooks.com/A-Step-by-Step-R-Tutorial.html
 Analyzing Linguistic Data: Introduction to Statistics using R,This book aims to present the statistical foundations of machine learning intended as the discipline which deals with the automatic design of models from data. All the examples are implemented in the statistical programming language R.,https://freecomputerbooks.com/Analyzing-Linguistic-Data-Introduction-Statistics-Using-R.html
 Statistical Foundations of Machine Learning using R,"This book provides an elementary-level introduction to R, targeting both non-statistician scientists in various fields and students of statistics.",https://freecomputerbooks.com/Statistical-Foundations-of-Machine-Learning.html
 Statistics with R (Vincent Zoonekynd),This is a textbook for an undergraduate course in probability and statistics. Calculus and some linear algebra knowledge is required.,https://freecomputerbooks.com/Statistics-with-R-by-Vincent-Zoonekynd.html
 Introduction to Probability and Statistics Using R (G. Jay Kerns),Begin developing your mastery of the powerful R programming language. Become comfortable with the R environment and learn how to find ways for R to fulfill your data needs.,https://freecomputerbooks.com/Introduction-to-Probability-and-Statistics-Using-R.html
 R Succinctly (Baarton Poulson),"This book guides users through the practical, powerful tools that the R system provides. The emphasis is on hands-on analysis, graphical display, and interpretation of data.",https://freecomputerbooks.com/R-Succinctly.html
 Using R for Data Analysis and Graphics (J H Maindonald),"This tutorial manual provides a comprehensive introduction to R, an open source software package for statistical computing and graphics",https://freecomputerbooks.com/Using-R-for-Data-Analysis-and-Graphics.html
 An Introduction to R: A Programming Environment for Data Analysis,"It presents R packages, functions, classes and methods for handling spatial data, and showcases more specialised kinds of spatial data analysis, including spatial point pattern analysis, interpolation and geostatistics, areal data analysis and disease mapping.",https://freecomputerbooks.com/An-Introduction-to-R.html
" Applied Spatial Data Analysis with R (Roger S. Bivand, et al)","It presents R packages, functions, classes and methods for handling spatial data, and showcases more specialised kinds of spatial data analysis, including spatial point pattern analysis, interpolation and geostatistics, areal data analysis and disease mapping.",https://freecomputerbooks.com/Applied-Spatial-Data-Analysis-with-R.html
" A Handbook of Statistical Analyses Using R (Brian S. Everitt, et al)",This book lays the foundation for further study and development in statistics using R - an ideal text for integrating the study of statistics with a powerful computational tool.,https://freecomputerbooks.com/A-Handbook-of-Statistical-Analyses-Using-R.html
 Using R for Introductory Statistics (John Verzani),"This book introduces readers to various areas in data science and explains which methodologies work best for each, with practical examples in R, Python, and other languages.",https://freecomputerbooks.com/Using-R-for-Introductory-Statistics.html
" Exploring Data Science (Nina Zumel, et al)","You'll learn how to develop a full-stack application using Ruby on Rails and PostgreSQL with Sidekiq, and how to manage them all - first with Docker, then with Docker Compose, and finally with Kubernetes.",https://freecomputerbooks.com/Exploring-Data-Science.html
 Rails on Containers (Katherine Juell),"This book is the only complete reference for the very latest version of Ruby. An acclaimed tutorial on using Ruby. Complete documentation of all built-in classes, modules, and methods. Complete descriptions of all 97 standard libraries.",https://freecomputerbooks.com/Rails-on-Containers.html
