title,url
O'Reilly® Developing Web Applications with Haskell and Yesod,https://freecomputerbooks.com/Developing-Web-Applications-with-Haskell-and-Yesod.html
O'Reilly® Real World Haskell,https://freecomputerbooks.com/Real-World-Haskell.html
The Haskell School of Music - From Signals to Symphonies,https://freecomputerbooks.com/The-Haskell-School-of-Music.html
Learn You a Haskell for Great Good! ,https://freecomputerbooks.com/Learn-You-a-Haskell-for-Great-Good.html
Haskell,https://freecomputerbooks.com/Haskell-Wikibooks.html
Yet Another Haskell Tutorial,https://freecomputerbooks.com/Yet-Another-Haskell-Tutorial.html
Game Programming in Haskell,https://freecomputerbooks.com/Game-Programming-in-Haskell.html
Happy Learn Haskell Tutorial,https://freecomputerbooks.com/Happy-Learn-Haskell-Tutorial.html
"The Haskell Road to Logic, Maths and Programming",https://freecomputerbooks.com/The-Haskell-Road-to-Logic-Maths-and-Programming.html
Haskell: Functional Programming with Types (Joeri van Eekelen),https://freecomputerbooks.com/Haskell-Functional-Programming-with-Types.html
Haskell Tutorial for C Programmers,https://freecomputerbooks.com/Haskell-Tutorial-for-C-Programmers.html
Anatomy of Programming Languages,https://freecomputerbooks.com/Anatomy-of-Programming-Languages.html
Write You a Haskell: Building a Modern Functional Compiler,https://freecomputerbooks.com/Write-You-a-Haskell-Building-a-Modern-Functional-Compiler-from-First-Principles.html
Programming in Haskell ,https://freecomputerbooks.com/Programming-in-Haskell.html
Learn Haskell Fast and Hard: Blow Your Mind with Haskell,https://freecomputerbooks.com/Learn-Haskell-Fast-and-Hard.html
Natural Language Processing for the Haskell Programmer,https://freecomputerbooks.com/Natural-Language-Processing-for-the-Working-Programmer.html
A Gentle Introduction To Haskell,https://freecomputerbooks.com/A-Gentle-Introduction-to-Haskell.html
Speeding Through Haskell,https://freecomputerbooks.com/Speeding-Through-Haskell.html
Purely Functional Data Structures,https://freecomputerbooks.com/Purely-Functional-Data-Structures.html
Parallel and Concurrent Programming in Haskell,https://freecomputerbooks.com/Parallel-and-Concurrent-Programming-in-Haskell.html
